SAMPLE_ID,REFERENCE,BENTHIC_SEASON,X..MiningCum,CONDUCT,WVSCI,TOTAL_RBP_SCORE,TEMP
31925,,Summer,0.485,445,67.5,155,22.5
10557,Level II,Spring,0,26,90.49,171,12.26
11098,No,Summer,0.072,251,62.85,122,21.44
10537,Level I,Spring,0,34,84.29,185,11.1
3616,No,Summer,0.204,171,48.15,104,21.95
35358,,Summer,0.123,428,36.56,139,24.38
27353,No,Summer,0,40,82.86,168,18.28
11116,No,Summer,0.013,847,53.32,132,20.88
16931,No,Spring,0.042,388,69.08,149,16.34
20466,No,Spring,0,42,59.88,87,9.97
5330,No,Summer,0.246,679,44.64,102,19.96
16781,No,Spring,0.332,408,69.24,154,11.94
35352,,Summer,0.037,114,78.81,159,23.86
11096,No,Summer,0.678,2553,23.37,112,18.99
11052,No,Summer,0.114,1386,59.42,112,26.2
2259,Level III,Summer,0,195,85.12,156,27
3493,No,Summer,0.26,603,49.66,85,19.26
30916,No,Spring,0,172,98.81,81,12.13
16895,No,Spring,0.096,406,67.28,143,14.94
20517,No,Spring,0,117,65.32,139,19.22
3389,No,Spring,0.314,834,39.52,131,17.83
26991,Level II,Summer,0,112,88.65,178,17.87
36188,,Summer,0.181,111,80.27,159,23.97
3621,No,Summer,0.208,390,50.46,137,16.38
11155,No,Summer,0.077,968,68.39,144,21.92
20440,No,Spring,0,41,80.63,152,15.46
16786,Level I,Spring,0,46,81.7,173,11.09
11156,No,Summer,0.078,847,65.81,139,19.92
16772,No,Summer,0,19,59.92,143,11.3
11159,No,Summer,0.028,159,71.18,162,21.94
11203,No,Summer,0.153,641,63.46,132,19.04
10605,No,Summer,0,350,49.25,130,26.67
27016,No,Spring,0.264,755,58.19,117,18.23
17332,Level I,Summer,0,43,90.23,166,17.09
17405,No,Summer,0,42,82.19,156,17.81
10471,No,Spring,0,27,90.27,163,11.12
3623,No,Summer,0.085,749,49.3,98,16.49
20471,No,Spring,0,36,54.54,78,12.65
10421,No,Spring,0.119,140,57.58,139,12.25
1285,Level I,Spring,0,57,89.96,161,17.6
27030,No,Spring,0.148,726,52.09,140,16.59
30868,No,Spring,0,23,92.98,151,9
3373,No,Spring,0,130,55.51,92,19.01
11212,No,Summer,0.41,847,78.56,137,20.86
11120,No,Summer,0.297,1131,63.49,113,20.92
30990,No,Summer,0.006,423,47.66,135,14.59
3857,Level I,Summer,0.005,44,88.11,179,18.9
20669,Level II,Spring,0,76,87.23,164,11.09
2391,Level I,Summer,0.004,79,90.88,165,19.24
2558,Level I,Summer,0,140,75.53,156,18.2
17319,No,Summer,0.443,798,47.53,75,20.62
11087,No,Summer,0.174,302,84.72,143,18.25
26973,No,Spring,0.201,33,87.58,169,9.82
3485,No,Summer,0,216,59.15,135,20.41
11086,No,Summer,0.161,280,56.09,130,19.95
20538,No,Spring,0,130,85.83,143,14.95
30865,No,Spring,0.809,1437,40.36,140,17.57
11195,No,Summer,0.586,659,75.27,158,24.53
21,No,Summer,0.075,306,57.46,114,15.9
27054,No,Spring,0.28,444,82.49,115,9.88
26955,No,Spring,0,31,92.1,158,11.8
10566,No,Summer,0.311,1006,69.59,139,19.73
2252,No,Summer,0,121,78.35,144,21.1
30810,No,Spring,0,260,89.64,131,12.74
3321,No,Spring,0,110,89.18,144,14.49
2459,No,Summer,0,343,66.32,142,19.4
16934,No,Spring,0.132,344,57.98,156,13.27
11139,No,Summer,0.019,679,60.52,122,22.26
3490,No,Summer,0,125,82.96,142,20.47
20644,No,Spring,0.02,593,57.7,146,10.6
11210,No,Summer,0.206,359,77.47,140,19.69
27116,No,Summer,0,53,91.39,153,13.82
112,Level I,Summer,0,39,87.49,157,17.3
11196,No,Summer,0.014,317,64.49,113,25
10382,No,Spring,0.493,418,67.48,128,12.81
11194,No,Summer,0.268,533,77.43,147,21.44
11089,No,Summer,0.273,704,70.32,110,22.2
11097,No,Summer,0.095,235,73.79,83,22.62
5322,No,Summer,0,119,79.83,121,20.37
36418,,Spring,0.093,103,94.59,172,13.99
10405,No,Spring,0.127,585,90.34,142,12.09
11088,No,Summer,0.364,2257,45.53,134,19.33
11201,No,Summer,0.127,490,50.73,102,22.65
17335,No,Summer,0.004,344,67.37,139,18.91
20482,No,Spring,0.109,140,49,132,13
31922,,Summer,0.253,811,46.46,148,19.57
2251,Level I,Summer,0,247,87.78,164,15.8
2405,No,Summer,0,454,69.48,145,27.7
3317,No,Spring,0,134,28.18,131,15.42
3322,No,Spring,0,153,43.61,150,16.95
3484,No,Summer,0.365,352,74.86,135,19.87
3542,Level I,Summer,0,43.2,85.15,149,16.77
3543,Level I,Summer,0,56,70.04,148,20.43
10480,No,Spring,0,65,97.75,117,13.34
10490,No,Spring,0.466,75,79.47,129,14.73
10522,No,Spring,0,611,63.17,150,12.96
10618,No,Summer,0.012,591,47.61,120,22.05
11043,No,Summer,0.526,406,78.44,142,19.23
11131,No,Summer,0.152,743,70.57,124,22.16
11197,No,Summer,0.016,161,82.95,147,17.25
16774,No,Summer,0.11,159,88.27,157,11.74
16789,No,Spring,0.288,556,49.3,163,17.45
16824,No,Spring,0.165,363,71.73,168,10.51
16840,No,Spring,0,21,91.69,129,9.93
17336,Level I,Summer,0,50,92.1,156,18.57
17337,No,Summer,0.297,215,71.75,153,18.08
17410,No,Summer,0,19,72.35,120,19.13
17430,Level III,Summer,0,23,71.16,185,18.5
20461,No,Spring,0,29,90.6,104,9.96
20462,No,Spring,0,132,95.08,135,11.43
20508,No,Spring,0,101,84.3,143,10.85
20539,No,Spring,0,70,73.52,112,18.23
20549,No,Spring,0.383,1450,19.5,142,15.19
21878,No,Summer,0,23,83.82,187,15.77
26978,No,Summer,0.427,1650,81.31,168,17.49
27046,Level II,Spring,0,61,80.04,171,11.9
27055,No,Spring,0.658,608,69.33,163,12.42
27058,No,Summer,0,93,81.16,139,20.35
27065,No,Spring,0,270,62.24,98,18.33
27086,No,Summer,0.916,1930,49.37,132,19.98
27138,No,Spring,0,255,55.62,146,11.17
29628,No,Spring,0.028,139,83.2,155,9.56
30782,No,Spring,0,27,89.49,166,11.65
30785,No,Spring,0.205,638,85.34,135,14.26
30801,No,Spring,0,217,85.9,128,12.11
30824,No,Summer,0,62,96.46,151,12.52
30903,Level I,Spring,0,58,87.24,163,10.19
30912,Level I,Spring,0,64,94.74,150,14.95
30914,No,Spring,0,67,96.67,117,13.37
30924,No,Spring,0.1,76,87.19,118,11.49
30952,No,Spring,0.004,79,95.65,134,15.79
30973,Level II,Summer,0,18,93.36,152,13.59
35051,,Summer,0,49,71.7,139,19.91
35264,,Summer,0,69,50.95,97,20.67
35348,,Summer,0.221,525,81.43,157,19.75
36388,Level II,Spring,0,69,98.09,143,13.98
